gene,group,Bin,Bucket,Lump,Quality
NEB,D cells (SST+),D Cell,Enteroendocrine,Epithelial,
SPTSSB,D cells (SST+),D Cell,Enteroendocrine,Epithelial,
GABRA1,D cells (SST+),D Cell,Enteroendocrine,Epithelial,
AC109466.1,D cells (SST+),D Cell,Enteroendocrine,Epithelial,
ASIC5,D cells (SST+),D Cell,Enteroendocrine,Epithelial,
RAB37,D cells (SST+),D Cell,Enteroendocrine,Epithelial,
GPC3,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
AKAP7,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
COL2A1,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
ODC1,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
ZFP36L2,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
BCAM,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
KLF5,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
UPK1A,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
COL14A1,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
FOLR1,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
CKB,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
SLC44A1,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
TNNT1,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
TMSB15A,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
ID2,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
CRABP1,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
PLEKHA4,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
CST1,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
TYRO3,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
ETV4,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
BMP2K,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
SLC2A1,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
ARRDC3,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
HOXA10,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
URAD,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
FGF9,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
SEMA4G,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
FKBP9,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
WIF1,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
FLNA,Distal progenitor,Distal Progenitor,Distal progenitor,Progenitor,
PRAC1,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
CDKN2A,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
NPW,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
GCLC,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
PEG10,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
IGFBP3,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
PSTPIP1,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
TPH1,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
HOXB13,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
AMIGO2,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
RXFP4,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
DDC,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
SYT13,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
CHGB,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
COL5A2,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
DNAJC12,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
SLC38A11,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
SLC7A2,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
INSM1,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
RAB3B,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
LMX1A,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
PTPRN,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
LSAMP,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
LDLRAD4,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
CACNB2,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
ERN1,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
TUNAR,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
GLIS3,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
STIM2,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
PROC,EC cells (NPW+),Enteroendocrine,Enteroendocrine,Epithelial,
KCTD12,EC cells (TAC1+),Enteroendocrine,Enteroendocrine,Epithelial,
RAB3C,EC cells (TAC1+),Enteroendocrine,Enteroendocrine,Epithelial,
OR51E1,EC cells (TAC1+),Enteroendocrine,Enteroendocrine,Epithelial,
CDHR3,EC cells (TAC1+),Enteroendocrine,Enteroendocrine,Epithelial,
CADM2,EC cells (TAC1+),Enteroendocrine,Enteroendocrine,Epithelial,
NELL1,EC cells (TAC1+),Enteroendocrine,Enteroendocrine,Epithelial,
GSG1,EC cells (TAC1+),Enteroendocrine,Enteroendocrine,Epithelial,
ADGRG4,EC cells (TAC1+),Enteroendocrine,Enteroendocrine,Epithelial,
SGPL1,EC cells (TAC1+),Enteroendocrine,Enteroendocrine,Epithelial,
NFASC,EC cells (TAC1+),Enteroendocrine,Enteroendocrine,Epithelial,
RBP2,Enterocyte,Enterocyte,Epithelial,Epithelial,
ANPEP,Enterocyte,Enterocyte,Epithelial,Epithelial,
DGAT1,Enterocyte,Enterocyte,Epithelial,Epithelial,
FABP2,Enterocyte,Enterocyte,Epithelial,Epithelial,
APOB,Enterocyte,Enterocyte,Epithelial,Epithelial,
KHK,Enterocyte,Enterocyte,Epithelial,Epithelial,
APOA4,Enterocyte,Enterocyte,Epithelial,Epithelial,
AMN,Enterocyte,Enterocyte,Epithelial,Epithelial,
SLC7A7,Enterocyte,Enterocyte,Epithelial,Epithelial,
CREB3L3,Enterocyte,Enterocyte,Epithelial,Epithelial,
SELENOP,Enterocyte,Enterocyte,Epithelial,Epithelial,
MTTP,Enterocyte,Enterocyte,Epithelial,Epithelial,
SLC2A2,Enterocyte,Enterocyte,Epithelial,Epithelial,
TM4SF20,Enterocyte,Enterocyte,Epithelial,Epithelial,
SULT2A1,Enterocyte,Enterocyte,Epithelial,Epithelial,
CD68,Enterocyte,Enterocyte,Epithelial,Epithelial,
SLC5A12,Enterocyte,Enterocyte,Epithelial,Epithelial,
SI,Enterocyte,Enterocyte,Epithelial,Epithelial,
DNASE1,Enterocyte,Enterocyte,Epithelial,Epithelial,
SMIM24,Enterocyte,Enterocyte,Epithelial,Epithelial,
PLIN2,Enterocyte,Enterocyte,Epithelial,Epithelial,
CES2,Enterocyte,Enterocyte,Epithelial,Epithelial,
AADAC,Enterocyte,Enterocyte,Epithelial,Epithelial,
FBP1,Enterocyte,Enterocyte,Epithelial,Epithelial,
SLC5A1,Enterocyte,Enterocyte,Epithelial,Epithelial,
SAT2,Enterocyte,Enterocyte,Epithelial,Epithelial,
PCK2,Enterocyte,Enterocyte,Epithelial,Epithelial,
PBLD,Enterocyte,Enterocyte,Epithelial,Epithelial,
CIDEB,Enterocyte,Enterocyte,Epithelial,Epithelial,
APOC3,Enterocyte,Enterocyte,Epithelial,Epithelial,
CLCA1,Goblet cell,Enterocyte,Secretory Epithelial,Epithelial,
SPINK4,Goblet cell,Enterocyte,Secretory Epithelial,Epithelial,
BCAS1,Goblet cell,Enterocyte,Secretory Epithelial,Epithelial,
ATOH1,Goblet cell,Enterocyte,Secretory Epithelial,Epithelial,
FCGBP,Goblet cell,Enterocyte,Secretory Epithelial,Epithelial,
HPCAL1,Goblet cell,Enterocyte,Secretory Epithelial,Epithelial,
FAM177B,Goblet cell,Enterocyte,Secretory Epithelial,Epithelial,
NTN4,Goblet cell,Enterocyte,Secretory Epithelial,Epithelial,
AC005833.1,Goblet cell,Enterocyte,Secretory Epithelial,Epithelial,
ABCA4,Goblet cell,Enterocyte,Secretory Epithelial,Epithelial,
REP15,Goblet cell,Enterocyte,Secretory Epithelial,Epithelial,
ST6GALNAC1,Goblet cell,Enterocyte,Secretory Epithelial,Epithelial,
SEL1L3,Goblet cell,Enterocyte,Secretory Epithelial,Epithelial,
FRZB,Goblet cell,Enterocyte,Secretory Epithelial,Epithelial,
GALNT5,Goblet cell,Enterocyte,Secretory Epithelial,Epithelial,
CRACR2A,Goblet cell,Enterocyte,Secretory Epithelial,Epithelial,
GALNT8,Goblet cell,Enterocyte,Secretory Epithelial,Epithelial,
CCK,I cells (CCK+),I Cell,Enteroendocrine,Epithelial,
ONECUT3,I cells (CCK+),I Cell,Enteroendocrine,Epithelial,
GC,I cells (CCK+),I Cell,Enteroendocrine,Epithelial,
GAS2L3,I cells (CCK+),I Cell,Enteroendocrine,Epithelial,
CCNA1,I cells (CCK+),I Cell,Enteroendocrine,Epithelial,
RHOH,I cells (CCK+),I Cell,Enteroendocrine,Epithelial,
SPART,I cells (CCK+),I Cell,Enteroendocrine,Epithelial,
THEM6,I cells (CCK+),I Cell,Enteroendocrine,Epithelial,
MRAP,I cells (CCK+),I Cell,Enteroendocrine,Epithelial,
CD36,I cells (CCK+),I Cell,Enteroendocrine,Epithelial,
TSHR,I cells (CCK+),I Cell,Enteroendocrine,Epithelial,
BAIAP2L2,I cells (CCK+),I Cell,Enteroendocrine,Epithelial,
N4BP2,I cells (CCK+),I Cell,Enteroendocrine,Epithelial,
PDK3,I cells (CCK+),I Cell,Enteroendocrine,Epithelial,
GIP,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
EGFL7,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
TMEM190,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
SCG5,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
CRTAC1,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
LRPAP1,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
C7,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
TDO2,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
CLTRN,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
PF4V1,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
PLCXD3,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
PRRG4,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
LINC00982,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
BCHE,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
HIGD1A,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
FABP5,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
TM4SF5,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
MAST4,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
SPAG5,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
FKBP2,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
DPP7,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
NELL2,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
CRYBG3,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
PTGER3,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
CHRNA5,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
ACP2,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
AC008124.1,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
LINC00907,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
CTSO,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
BLCAP,K cells (GIP+),I Cell,Enteroendocrine,Epithelial,
GCG,L cells (PYY+),I Cell,Enteroendocrine,Epithelial,
PRPH,L cells (PYY+),I Cell,Enteroendocrine,Epithelial,
FAP,L cells (PYY+),I Cell,Enteroendocrine,Epithelial,
FGFBP3,L cells (PYY+),I Cell,Enteroendocrine,Epithelial,
INSL5,L cells (PYY+),I Cell,Enteroendocrine,Epithelial,
MLN,M/X cells (MLN/GHRL+),I Cell,Enteroendocrine,Epithelial,
GHRL,M/X cells (MLN/GHRL+),I Cell,Enteroendocrine,Epithelial,
ACSL1,M/X cells (MLN/GHRL+),I Cell,Enteroendocrine,Epithelial,
IL20RA,M/X cells (MLN/GHRL+),I Cell,Enteroendocrine,Epithelial,
ACOT7,M/X cells (MLN/GHRL+),I Cell,Enteroendocrine,Epithelial,
VSTM2L,M/X cells (MLN/GHRL+),I Cell,Enteroendocrine,Epithelial,
ATF7IP2,M/X cells (MLN/GHRL+),I Cell,Enteroendocrine,Epithelial,
ASAH1,M/X cells (MLN/GHRL+),I Cell,Enteroendocrine,Epithelial,
ASGR1,M/X cells (MLN/GHRL+),I Cell,Enteroendocrine,Epithelial,
PDE3B,M/X cells (MLN/GHRL+),I Cell,Enteroendocrine,Epithelial,
CLEC4G,M/X cells (MLN/GHRL+),I Cell,Enteroendocrine,Epithelial,
WNK3,M/X cells (MLN/GHRL+),I Cell,Enteroendocrine,Epithelial,
BHMT,M/X cells (MLN/GHRL+),I Cell,Enteroendocrine,Epithelial,
NSG2,M/X cells (MLN/GHRL+),I Cell,Enteroendocrine,Epithelial,
SLC8A1,M/X cells (MLN/GHRL+),I Cell,Enteroendocrine,Epithelial,
RAPGEF4,M/X cells (MLN/GHRL+),I Cell,Enteroendocrine,Epithelial,
PGM5,M/X cells (MLN/GHRL+),I Cell,Enteroendocrine,Epithelial,
AGT,M/X cells (MLN/GHRL+),I Cell,Enteroendocrine,Epithelial,
EPHA4,M/X cells (MLN/GHRL+),I Cell,Enteroendocrine,Epithelial,
CCL20,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
CCL23,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
TFF2,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
ICAM2,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
PGC,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
CTSE,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
SPINK5,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
ANXA10,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
LYZ,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
MIA,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
CLDN18,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
FOXQ1,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
TNFAIP2,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
KCNE3,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
MUC5AC,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
GP2,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
MUCL3,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
AKR1C2,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
AKR1C3,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
SOX8,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
MUC6,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
LTB,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
MSMB,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
CAV1,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
HS3ST1,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
VSIG1,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
TYMP,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
AC020656.1,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
IL1B,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
SLC2A6,Microfold cell,Microfold,Secretory Epithelial,Epithelial,
NTS,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
CDKN1A,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
RARRES1,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
CPLX2,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
ETV1,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
MS4A8,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
CYP4F3,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
PCSK1N,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
LXN,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
AC005019.2,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
ARRDC4,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
HLA-A,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
VPS13A,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
ID1,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
CNFN,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
SLC6A19,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
ARFGEF3,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
SYT7,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
C16orf54,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
AC024610.2,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
VAMP2,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
DRAIC,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
UCN3,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
SOWAHA,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
CDKN2C,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
CXCL16,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
B3GALT5,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
PLXDC2,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
TBX3,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
PPARA,N cells (NTS+),N Cell,Enteroendocrine,Epithelial,
DEFA5,Paneth,Paneth,Secretory Epithelial,Epithelial,
DEFA6,Paneth,Paneth,Secretory Epithelial,Epithelial,
REG3A,Paneth,Paneth,Secretory Epithelial,Epithelial,
REG1A,Paneth,Paneth,Secretory Epithelial,Epithelial,
DCN,Paneth,Paneth,Secretory Epithelial,Epithelial,
JCHAIN,Paneth,Paneth,Secretory Epithelial,Epithelial,
PRSS2,Paneth,Paneth,Secretory Epithelial,Epithelial,
